Here is the tab-separated file content you can use for importing into Anki.
Instructions for Anki Import:
 * Copy the entire text block below, starting from the first question.
 * Save it as a plain text file (e.g., import.txt).
 * Open Anki and either create a new deck or choose an existing one.
 * Go to File > Import... and select the import.txt file you just saved.
 * In the import settings window:
   * Ensure the "Fields separated by:" option is set to Tab.
   * Enable the "Allow HTML in fields" option.
   * Map the first field to the Front of your card and the second field to the Back.
 * Click "Import" to add the cards to your deck.
Note: Questions that refer to figures (e.g., Figure 1, 2, 3, 4) require you to look at the original PDF document to understand the context. A note has been added to these questions.
[cite_start]Of the following sound wave modes, which one has multiple or varying wave velocities?	Lamb waves
[cite_start]Which of the following would be considered application(s) of ultrasonic techniques?	All of the above (A. Determination of a material's elastic modulus, B. Study of a material's metallurgical structure, C. Measurement of a material's thickness)
[cite_start]The only significant sound wave mode that will travel through a liquid is:	longitudinal
[cite_start]The acoustic impedance of a material is used to:	determine the relative amounts of sound energy coupled through and reflected at an interface.
[cite_start]When angle beam contact testing a test piece, increasing the incident angle until the second critical angle is reached results in:	production of a surface wave..
Acoustic energy propagates in different modes. [cite_start]Which of the following represent a mode?	All of the above (A. Longitudinal wave, B. Shear wave, C. Surface wave)
The simple experiment where a stick in a glass of water appears disjointed at the water surface illustrates the phenomenon of:	refraction
The crystal thickness and transducer frequency are related. [cite_start]The thinner the crystal:	the higher the frequency.
[cite_start]The random distribution of crystallographic direction in alloys with large crystalline structure is a factor in determining.	all of the above. (A. acoustic noise levels, B. selection of test frequency, C. scattering of sound)
[cite_start]The length of the zone adjacent to a transducer in which fluctuations in sound pressure occur is mostly affected by:	both A and B. (A. the frequency of the transducer, B. the diameter of the transducer)
[cite_start]The differences in signals received from identical reflectors at different material distances from a transducer may be caused by:	all of the above (A. material attenuation, B. beam divergence, C. near field effects)
[cite_start]It is possible for a discontinuity smaller than the transducer to produce indications of fluctuating amplitude as the search unit is moved laterally if testing is being performed in the	Near field.
[cite_start]In immersion testing, the near field effects of a transducer may be eliminated by:	using an appropriate water path
[cite_start]In Figure I shown below, assuming a uniform beam pattern, what relationship would you expect to exist between the amplitudes of the reflected laminar signals at position A and B? <br><i>(Refer to Figure 1 on page 2 of the PDF)</i>	2 to 1
[cite_start]In the far field of a uniform ultrasonic beam, sound intensity is	maximum at the beam centerline.
[cite_start]Which of the following may result in a long narrow rod if the beam divergence results in a reflection from a side of the test piece before the sound wave reaches the back surface?	[cite_start]Conversion from the longitudinal mode to shear mode
[cite_start]Where does beam divergence occur?	Far field
[cite_start]As frequency increases in ultrasonic testing, the angle of beam divergence of a given diameter crystal:	decreases.
[cite_start]As the radius of curvature of a curved lens is increased, the focal length of the lens will:	increase
[cite_start]When examining materials for planar flaws oriented parallel to the part surface, what testing method is most often used?	Straight beam
